,cylinders,horsepower,mpg,displacement,acceleration,model year,weight,car_name
168,4,83.00,23.0,140.0,17.0,75,2639.0,ford pinto
169,6,100.0,20.0,232.0,16.0,75,2914.0,amc gremlin
170,4,78.00,23.0,140.0,18.5,75,2592.0,pontiac astro
174,6,97.00,18.0,171.0,14.5,75,2984.0,ford pinto
176,6,90.00,19.0,232.0,17.0,75,3211.0,amc pacer
184,4,92.00,25.0,140.0,14.9,76,2572.0,capri ii
185,4,79.00,26.0,98.0,17.7,76,2255.0,dodge colt
187,8,140.0,17.5,305.0,13.0,76,4215.0,chevrolet chevelle malibu classic
188,8,150.0,16.0,318.0,13.0,76,4190.0,dodge coronet brougham
189,8,120.0,15.5,304.0,13.9,76,3962.0,amc matador
190,8,152.0,14.5,351.0,12.8,76,4215.0,ford gran torino
191,6,100.0,22.0,225.0,15.4,76,3233.0,plymouth valiant
192,6,105.0,22.0,250.0,14.5,76,3353.0,chevrolet nova
193,6,81.00,24.0,200.0,17.6,76,3012.0,ford maverick
194,6,90.00,22.5,232.0,17.6,76,3085.0,amc hornet
195,4,52.00,29.0,85.0,22.2,76,2035.0,chevrolet chevette
196,4,60.00,24.5,98.0,22.1,76,2164.0,chevrolet woody
199,6,100.0,20.0,225.0,17.7,76,3651.0,dodge aspen se
200,6,78.00,18.0,250.0,21.0,76,3574.0,ford granada ghia
201,6,110.0,18.5,250.0,16.2,76,3645.0,pontiac ventura sj
202,6,95.00,17.5,258.0,17.8,76,3193.0,amc pacer d/l
206,4,72.00,26.5,140.0,13.6,76,2565.0,ford pinto
208,8,150.0,13.0,318.0,13.2,76,3940.0,plymouth volare premier v8
212,8,180.0,16.5,350.0,12.1,76,4380.0,cadillac seville
213,8,145.0,13.0,350.0,12.0,76,4055.0,chevy c10
214,8,130.0,13.0,302.0,15.0,76,3870.0,ford f108
215,8,150.0,13.0,318.0,14.0,76,3755.0,dodge d100
217,4,80.00,30.0,111.0,14.8,77,2155.0,buick opel isuzu deluxe
219,4,96.00,25.5,122.0,15.5,77,2300.0,plymouth arrow gs
221,8,145.0,17.5,305.0,12.5,77,3880.0,chevrolet caprice classic
222,8,110.0,17.0,260.0,19.0,77,4060.0,oldsmobile cutlass supreme
223,8,145.0,15.5,318.0,13.7,77,4140.0,dodge monaco brougham
224,8,130.0,15.0,302.0,14.9,77,4295.0,mercury cougar brougham
225,6,110.0,17.5,250.0,16.4,77,3520.0,chevrolet concours
226,6,105.0,20.5,231.0,16.9,77,3425.0,buick skylark
227,6,100.0,19.0,225.0,17.7,77,3630.0,plymouth volare custom
228,6,98.00,18.5,250.0,19.0,77,3525.0,ford granada
229,8,180.0,16.0,400.0,11.1,77,4220.0,pontiac grand prix lj
230,8,170.0,15.5,350.0,11.4,77,4165.0,chevrolet monte carlo landau
231,8,190.0,15.5,400.0,12.2,77,4325.0,chrysler cordoba
232,8,149.0,16.0,351.0,14.5,77,4335.0,ford thunderbird
234,4,88.00,24.5,151.0,16.0,77,2740.0,pontiac sunbird coupe
236,4,89.00,25.5,140.0,15.8,77,2755.0,ford mustang ii 2+2
237,4,63.00,30.5,98.0,17.0,77,2051.0,chevrolet chevette
238,4,83.00,33.5,98.0,15.9,77,2075.0,dodge colt m/m
245,4,66.00,36.1,98.0,14.4,78,1800.0,ford fiesta
249,8,110.0,19.9,260.0,15.5,78,3365.0,oldsmobile cutlass salon brougham
250,8,140.0,19.4,318.0,13.2,78,3735.0,dodge diplomat
251,8,139.0,20.2,302.0,12.8,78,3570.0,mercury monarch ghia
252,6,105.0,19.2,231.0,19.2,78,3535.0,pontiac phoenix lj
253,6,95.00,20.5,200.0,18.2,78,3155.0,chevrolet malibu
254,6,85.00,20.2,200.0,15.8,78,2965.0,ford fairmont (auto)
255,4,88.00,25.1,140.0,15.4,78,2720.0,ford fairmont (man)
256,6,100.0,20.5,225.0,17.2,78,3430.0,plymouth volare
257,6,90.00,19.4,232.0,17.2,78,3210.0,amc concord
258,6,105.0,20.6,231.0,15.8,78,3380.0,buick century special
259,6,85.00,20.8,200.0,16.7,78,3070.0,mercury zephyr
260,6,110.0,18.6,225.0,18.7,78,3620.0,dodge aspen
261,6,120.0,18.1,258.0,15.1,78,3410.0,amc concord d/l
262,8,145.0,19.2,305.0,13.2,78,3425.0,chevrolet monte carlo landau
263,6,165.0,17.7,231.0,13.4,78,3445.0,buick regal sport coupe (turbo)
264,8,139.0,18.1,302.0,11.2,78,3205.0,ford futura
265,8,140.0,17.5,318.0,13.7,78,4080.0,dodge magnum xe
266,4,68.00,30.0,98.0,16.5,78,2155.0,chevrolet chevette
269,4,75.00,30.9,105.0,14.5,78,2230.0,dodge omni
271,4,105.0,23.2,156.0,16.7,78,2745.0,plymouth sapporo
272,4,85.00,23.8,151.0,17.6,78,2855.0,oldsmobile starfire sx
280,6,115.0,21.5,231.0,15.4,79,3245.0,pontiac lemans v6
281,6,85.00,19.8,200.0,18.2,79,2990.0,mercury zephyr 6
282,4,88.00,22.3,140.0,17.3,79,2890.0,ford fairmont 4
283,6,90.00,20.2,232.0,18.2,79,3265.0,amc concord dl 6
284,6,110.0,20.6,225.0,16.6,79,3360.0,dodge aspen 6
285,8,130.0,17.0,305.0,15.4,79,3840.0,chevrolet caprice classic
286,8,129.0,17.6,302.0,13.4,79,3725.0,ford ltd landau
287,8,138.0,16.5,351.0,13.2,79,3955.0,mercury grand marquis
288,8,135.0,18.2,318.0,15.2,79,3830.0,dodge st. regis
289,8,155.0,16.9,350.0,14.9,79,4360.0,buick estate wagon (sw)
290,8,142.0,15.5,351.0,14.3,79,4054.0,ford country squire (sw)
291,8,125.0,19.2,267.0,15.0,79,3605.0,chevrolet malibu classic (sw)
292,8,150.0,18.5,360.0,13.0,79,3940.0,chrysler lebaron town @ country (sw)
295,4,80.00,35.7,98.0,14.4,79,1915.0,dodge colt hatchback custom
296,4,80.00,27.4,121.0,15.0,79,2670.0,amc spirit dl
298,8,125.0,23.0,350.0,17.4,79,3900.0,cadillac eldorado
300,8,90.00,23.9,260.0,22.2,79,3420.0,oldsmobile cutlass salon brougham
301,4,70.00,34.2,105.0,13.2,79,2200.0,plymouth horizon
302,4,70.00,34.5,105.0,14.9,79,2150.0,plymouth horizon tc3
305,4,90.00,28.4,151.0,16.0,79,2670.0,buick skylark limited
306,6,115.0,28.8,173.0,11.3,79,2595.0,chevrolet citation
307,6,115.0,26.8,173.0,12.9,79,2700.0,oldsmobile omega brougham
308,4,90.00,33.5,151.0,13.2,79,2556.0,pontiac phoenix
311,4,70.00,32.1,98.0,15.5,80,2120.0,chevrolet chevette
313,4,90.00,28.0,151.0,16.5,80,2678.0,chevrolet citation
314,4,88.00,26.4,140.0,18.1,80,2870.0,ford fairmont
315,4,90.00,24.3,151.0,20.1,80,3003.0,amc concord
316,6,90.00,19.1,225.0,18.7,80,3381.0,dodge aspen
323,4,105.0,27.9,156.0,14.4,80,2800.0,dodge colt
338,4,84.00,27.2,135.0,15.7,81,2490.0,plymouth reliant
339,4,84.00,26.6,151.0,16.4,81,2635.0,buick skylark
340,4,92.00,25.8,156.0,14.4,81,2620.0,dodge aries wagon (sw)
341,6,110.0,23.5,173.0,12.6,81,2725.0,chevrolet citation
342,4,84.00,30.0,135.0,12.9,81,2385.0,plymouth reliant
344,4,64.00,39.0,86.0,16.4,81,1875.0,plymouth champ
350,4,63.00,34.7,105.0,14.9,81,2215.0,plymouth horizon 4
351,4,65.00,34.4,98.0,16.2,81,2045.0,ford escort 4w
352,4,65.00,29.9,98.0,20.7,81,2380.0,ford escort 2h
363,6,110.0,22.4,231.0,15.8,81,3415.0,buick century
364,8,105.0,26.6,350.0,19.0,81,3725.0,oldsmobile cutlass ls
365,6,88.00,20.2,200.0,17.1,81,3060.0,ford granada gl
366,6,85.00,17.6,225.0,16.6,81,3465.0,chrysler lebaron salon
367,4,88.00,28.0,112.0,19.6,82,2605.0,chevrolet cavalier
368,4,88.00,27.0,112.0,18.6,82,2640.0,chevrolet cavalier wagon
369,4,88.00,34.0,112.0,18.0,82,2395.0,chevrolet cavalier 2-door
370,4,85.00,31.0,112.0,16.2,82,2575.0,pontiac j2000 se hatchback
371,4,84.00,29.0,135.0,16.0,82,2525.0,dodge aries se
372,4,90.00,27.0,151.0,18.0,82,2735.0,pontiac phoenix
373,4,92.00,24.0,140.0,16.4,82,2865.0,ford fairmont futura
378,4,63.00,38.0,105.0,14.7,82,2125.0,plymouth horizon miser
379,4,70.00,36.0,98.0,17.3,82,2125.0,mercury lynx l
386,6,110.0,25.0,181.0,16.4,82,2945.0,buick century limited
387,6,85.00,38.0,262.0,17.0,82,3015.0,oldsmobile cutlass ciera (diesel)
388,4,92.00,26.0,156.0,14.5,82,2585.0,chrysler lebaron medallion
389,6,112.0,22.0,232.0,14.7,82,2835.0,ford granada l
391,4,84.00,36.0,135.0,13.0,82,2370.0,dodge charger 2.2
392,4,90.00,27.0,151.0,17.3,82,2950.0,chevrolet camaro
393,4,86.00,27.0,140.0,15.6,82,2790.0,ford mustang gl
395,4,84.00,32.0,135.0,11.6,82,2295.0,dodge rampage
396,4,79.00,28.0,120.0,18.6,82,2625.0,ford ranger
397,4,82.00,31.0,119.0,19.4,82,2720.0,chevy s-10
