,Al,Fe,Na,Si,K,Ca,RI,Mg,Ba
98,1.43,0.0,12.96,72.92,0.6,8.79,1.51811,2.96,0.14
99,1.44,0.22,12.75,73.27,0.57,8.79,1.51655,2.85,0.11
100,1.63,0.0,12.35,72.87,0.7,9.23,1.5173,2.72,0.0
101,0.83,0.2,12.62,73.81,0.35,9.42,1.5182,2.76,0.0
102,0.66,0.0,13.8,70.57,0.08,11.64,1.52725,3.15,0.0
103,1.17,0.0,13.83,71.15,0.08,10.79,1.5241,2.9,0.0
104,1.88,0.34,11.45,72.19,0.81,13.24,1.52475,0.0,0.0
105,2.1,0.28,10.73,69.81,0.58,13.3,1.53125,0.0,3.15
106,1.0,0.24,12.3,70.16,0.12,16.19,1.53393,0.0,0.0
107,1.0,0.08,14.43,72.67,0.1,11.52,1.52222,0.0,0.0
108,0.56,0.0,13.72,74.45,0.0,10.99,1.51818,0.0,0.0
109,0.77,0.0,11.23,73.21,0.0,14.68,1.52664,0.0,0.0
110,0.75,0.0,11.02,73.08,0.0,14.96,1.52739,0.0,0.0
111,0.67,0.0,12.64,72.02,0.06,14.4,1.52777,0.0,0.0
112,1.26,0.14,13.46,72.55,0.57,8.21,1.51892,3.83,0.0
113,1.19,0.0,13.1,72.44,0.6,8.43,1.51847,3.97,0.0
114,1.33,0.0,13.41,72.38,0.51,8.28,1.51846,3.89,0.0
115,1.41,0.1,13.24,72.33,0.55,8.31,1.51829,3.9,0.0
116,1.81,0.0,13.72,72.06,0.64,7.88,1.51708,3.68,0.0
117,1.53,0.29,13.3,72.53,0.65,8.03,1.51673,3.64,0.0
118,1.47,0.0,13.56,72.45,0.64,7.96,1.51652,3.57,0.0
119,1.32,0.0,13.25,72.4,0.58,8.42,1.51844,3.76,0.0
120,1.62,0.21,12.93,72.96,0.64,8.03,1.51663,3.54,0.0
121,1.48,0.0,13.23,72.84,0.56,8.1,1.51687,3.54,0.0
122,1.71,0.0,13.48,72.52,0.62,7.99,1.51707,3.48,0.0
123,1.15,0.0,13.2,72.75,0.54,8.52,1.52177,3.68,0.0
124,1.56,0.12,12.93,72.51,0.58,8.55,1.51872,3.66,0.0
125,1.26,0.0,12.94,72.75,0.56,8.6,1.51667,3.61,0.0
126,1.43,0.17,13.78,71.99,0.49,9.85,1.52081,2.28,0.0
127,1.67,0.17,13.55,72.18,0.53,9.57,1.52068,2.09,0.27
128,1.63,0.18,13.98,71.76,0.39,10.56,1.5202,1.35,0.0
129,1.36,0.0,13.75,72.19,0.33,11.14,1.52177,1.01,0.0
130,1.36,0.1,13.7,71.24,0.19,13.44,1.52614,0.0,0.0
131,1.18,0.0,13.43,72.49,0.58,8.15,1.51813,3.98,0.0
132,1.54,0.15,13.71,71.81,0.54,8.21,1.518,3.93,0.0
133,1.25,0.0,13.33,72.78,0.52,8.12,1.51811,3.85,0.0
134,1.3,0.28,13.19,72.33,0.55,8.44,1.51789,3.9,0.0
135,1.08,0.12,13.0,73.07,0.56,8.38,1.51806,3.8,0.0
136,1.57,0.0,12.89,72.96,0.61,8.11,1.51711,3.62,0.0
137,1.54,0.0,12.79,73.36,0.66,7.9,1.51674,3.52,0.0
138,1.64,0.0,12.87,73.14,0.65,7.99,1.51674,3.56,0.0
139,1.61,0.0,13.33,72.54,0.68,8.11,1.5169,3.54,0.0
140,1.07,0.17,13.2,72.83,0.57,8.41,1.51851,3.63,0.09
141,1.44,0.25,12.85,73.01,0.68,8.23,1.51662,3.51,0.06
142,1.79,0.0,13.0,72.72,0.66,8.18,1.51709,3.47,0.0
143,1.23,0.24,12.99,72.97,0.58,8.81,1.5166,3.18,0.0
144,1.24,0.35,12.85,72.57,0.62,8.68,1.51839,3.67,0.0
